
Genes,Filtered Difference
S100A85,-3.1557564201341886
S100A94,-2.6284028499449734
RP11-1143G9.42,-2.030389767097431
SRGN3,-1.7716126113278867
DEFA4,-1.0764640974641242
CEACAM1,-0.9872500982672199
RP11-1143G9.41,-0.9712157544867405
SLC25A5,-0.9514943474965352
CTSG2,-0.9461917784507954
S100A84,-0.9384228087323851
RP11-1143G9.4,-0.9307707646887139
ELANE,-0.9064871427543535
TMSB4XP4,-0.8899840677797517
MPO,-0.8885205159185656
ZDHHC12,-0.8788879354784371
SRGN,-0.7539518921591064
AZU1,-0.7521707168034919
CTSG,-0.7051550146931724
UGCG,-0.6896227341188235
CHCHD7,-0.686152263884839
SRGN1,-0.6789096174348856
LYZ1,-0.660846883320432
LTF1,-0.6591379312232668
YWHAH,-0.647163656295183
GAPDH,-0.6416280788986708
FCN11,-0.6262596045439974
S100A4,-0.6144915650487539
CST7,-0.6057419085890832
RNASE3,-0.5896892618489902
RPS3AP6,-0.583249566113289
PSMB71,-0.581951675744514
MFSD10,-0.5810172495921366
NEAT1,-0.5502284854246671
VSTM1,-0.5321434773301775
GRK2,-0.5305860410487235
DEFA31,-0.5285473839417509
HMGN21,-0.5183452013249106
CD591,-0.472283801175475
C6orf48,-0.466210181738401
RNASE22,-0.4645994362475223
PLAC8,-0.46234165561561946
BEX1,-0.45938356784637135
S100A64,-0.44608346499021123
CD242,-0.44274004728533667
HSP90AA1,-0.4397625399
SLC25A3,-0.434531686513149
RPS4Y1,-0.4290210617462629
MMP81,-0.4284799789245848
RNASEH2C1,-0.427956707091424
RGCC,-0.42492612110735317
CST72,-0.41799975231586417
DEFA3,-0.41080817726671137
DEFA42,-0.40555886797040586
NCOA4,-0.403259359828053
S100P,-0.39879788240274694
TMEM258,-0.39848963119843506
TUBB,-0.39550497957645
COL17A1,-0.39171943151782007
PPIB,-0.39061752896363067
HLA-A1,-0.3876796131554354
TYROBP,-0.3824799596166727
ARHGDIB1,-0.37183750523875125
PRTN3,-0.3702263618825383
H2AFZ2,-0.3623377505766202
ORM1,-0.3533202389171637
RNASE2,-0.34686415214495425
HNRNPA1,-0.345600391018724
PGK1,-0.3393216807652187
CLEC11A,-0.33584036238374115
RNASE31,-0.33515584077327154
CLC2,-0.3342352668336801
UBC,-0.331786643109767
NOP10,-0.32488911790254005
ATP8B4,-0.32019247893613656
B4GALT5,-0.3199071593725855
MS4A3,-0.3164846309185183
S100A8,-0.29820088458108085
ANXA32,-0.29773487072901395
NUCB2,-0.28846760795311754
CFD1,-0.2852031912300368
HCST,-0.2784689975180651
CEACAM6,-0.2773455174471151
HLA-B2,-0.274797619908825
TXN1,-0.27161474930454693
CSTA1,-0.27000658668623634
MTDH,-0.2674131658315631
ALOX5AP1,-0.26738361225190144
GNAI21,-0.26612001692134746
RAB31,-0.2658703445544791
RPS7,-0.2649126906718765
PKM1,-0.26091155299561636
ANXA31,-0.26045259026656253
SAT11,-0.259581267573203
DEFB11,-0.25891836817318903
CEACAM8,-0.2583798584585637
STOM,-0.2582247760229309
SPARC1,-0.25819236760232356
IFITM33,-0.25735279597817606
CYBA,-0.2566555425271111
CLEC12A,-0.2543958903523349
NDUFA13,-0.25256239502676603
PABPC1,-0.24898247520241368
RPL36A,-0.24464213528133555
GYG1,-0.24273819839759747
PCBP1,-0.24184839069282094
TCN1,-0.23655439898384523
HMGB23,-0.23414061252109092
RAB32,-0.233849457912076
RPL9P9,-0.2334284159122923
CORO1A,-0.23219638346414273
S100A91,-0.22980397629489357
CLC1,-0.22656746610656864
LYZ,-0.224827006132567
RPL15,-0.22376151824414997
ANXA11,-0.22373656925026353
RPS13,-0.22248135861392704
RPL37,-0.22196091767100695
RPL27,-0.22184589521825504
HLA-C2,-0.22165753274118072
LYZ3,-0.21867296165853412
RPS10,-0.21831897002179002
CAP11,-0.21742125605083218
GNG5,-0.2160632249822022
BASP1,-0.21161605514141857
HLA-B1,-0.209546024545183
RPLP0,-0.20818836686651038
HLA-A,-0.20707286752150278
STXBP2,-0.20370981776812797
TNFSF13B,-0.20331004805134406
COTL1,0.202714722528461
CITED2,0.20385745127225818
ZFP36L2,0.20517168034145106
GCA2,0.20547412096738193
RTN31,0.2055618431028864
PLEK,0.20645514095639506
HP,0.2095523119101994
S100A92,0.21792653689096464
HLA-E,0.2181399243046112
NUP214,0.21821027440099855
METTL9,0.2195411380287957
CCNI,0.22490674495598229
APMAP1,0.22794421623631245
ACTR3,0.22807848092629496
GAPDH1,0.22850536076504802
RP11-620J15.3,0.22852646223301532
RAC22,0.2362153910224245
LDHA,0.23861239642652246
PCMT1,0.2395576004524605
SDCBP,0.2395929756221168
MS4A31,0.23996215716886482
CAPG,0.2403142950567152
ITM2B1,0.24282803421320853
FPR11,0.24480096420161002
H2AFZ3,0.24746654181636596
FCGR3B,0.24972155377962912
ITGB2,0.2549306331017367
MYH9,0.25528630658599794
