
Genes,Filtered Difference
IGLC31,-2.311495934518912
IGHG11,-2.002854140298923
MANF2,-1.3729259351287328
IGHG13,-1.3107439388210453
MYDGF3,-1.2627770994388379
CD74,-1.1980274412665228
IGLV6-57,-1.1698406046961423
IGHG31,-1.1347665689860298
HRASLS2,-1.0928874424874149
LSP1,-1.081047056322101
HSP90B13,-1.036668251893167
CD631,-1.034619660548468
HSPA51,-1.001294770745807
TMEM2581,-0.9872599627663162
FCRL5,-0.952085482491923
JCHAIN2,-0.91779299550632
PDIA62,-0.9084281956717769
SUB12,-0.8769050343546452
GMPPB,-0.8693876400092526
TMED101,-0.83924631625573
PPIB3,-0.8002180296707215
LMAN11,-0.7611522358282541
LRPAP1,-0.7573832397618391
NDUFA2,-0.756786354773721
TMED102,-0.755259151523767
IGHG14,-0.7318297105233498
TPD521,-0.7185319196602239
CCDC1671,-0.6953215438721829
SUB13,-0.693497808637145
TNFRSF171,-0.689810712798983
HSP90B12,-0.6734112070437006
PPIB2,-0.672251333311799
VCP,-0.6639705849396689
MFF,-0.6591931925968251
EIF5A,-0.649913948892982
ATP5G11,-0.6229339744723303
PSMA5,-0.595921092702902
MIF2,-0.586582202952681
SEC61G1,-0.5788240500562934
IGKV4-1,-0.5766229700126444
SNU13,-0.560033909658392
UQCRQ3,-0.556612355298316
MYDGF2,-0.5425734025891351
DNAJB11,-0.5406357148930778
NDUFS6,-0.5312471253168041
CYCS1,-0.5231410875888249
PDIA61,-0.4935226574691527
CCND2,-0.4922853042633597
UQCRQ2,-0.4855062019388918
COPS9,-0.48202748662896455
HSPA52,-0.470839091503934
MYDGF1,-0.4609155919334511
HLA-C,-0.45850471629603984
HSPA5,-0.44425939334678743
PDCD5,-0.44097114091997697
SELK1,-0.42777870224279035
SUB14,-0.4215168918005101
SEC11C1,-0.41965833868951785
RPA3,-0.4124131990761325
TXNDC15,-0.41195990537194427
DNAJB111,-0.4064424567794661
S100A10,-0.3998142120565671
COX8A,-0.399656501638374
SURF4,-0.39955331759371404
B2M1,-0.39925934732934204
ATP5G33,-0.396995923666254
KDELR2,-0.3962930906244283
HLA-B,-0.39471865603662687
SSR1,-0.3914955533146667
HSP90B1,-0.38852786847159226
TPD52,-0.3877836741521492
DYNLRB1,-0.37208443751685594
MANF1,-0.3694929934388109
LGALS11,-0.3671244721338175
SEC61G2,-0.3651159290539301
ARF41,-0.3645082512680544
CD38,-0.3556615139287469
ZNF7062,-0.33856316367758194
SPCS31,-0.33743186553403404
NDUFB31,-0.33618754147135943
COPE1,-0.3343653417260018
WBSCR221,-0.324424671590976
LMAN21,-0.3198832631011213
NDUFB4,-0.3165212218330083
REEP5,-0.30931478055050265
NDUFS5,-0.30220247074830403
COX7A24,-0.29918072483377794
MRPL51,-0.28496665473506544
CHCHD22,-0.28308466777147995
PSMB61,-0.2818572243808845
NOP10,-0.28163404495593947
CCDC167,-0.280427621691583
TMEM156,-0.2801214276937908
PSMB9,-0.27754097845825
PDIA4,-0.2653591278634235
SSR3,-0.26498607900848925
CD59,-0.26375642377068753
GLRX,-0.2633051717303091
WBSCR22,-0.2564487492553845
OST42,-0.25299837632503497
TMEM147,-0.25251181267767153
NDUFA111,-0.252022502195762
MYDGF,-0.25075109796819217
RPN1,-0.24631712201845157
SDF2L1,-0.2421585455639621
TMEM167A,-0.242037767723829
ALG5,-0.23890936779392224
NOL7,-0.23840758265053796
OST41,-0.2343136518342186
SSR21,-0.2323160701861976
TMED92,-0.23194404063684004
CNPY2,-0.23143398746033572
DDOST,-0.23107881871817104
PSME2,-0.22695968218954238
TMED91,-0.22604223289387448
SPCS3,-0.22495973752757203
FKBP21,-0.22465143526460973
NDUFA13,-0.21827294707442096
TMBIM62,-0.21614767923860295
PSMB6,-0.20732743568063072
COPE2,-0.20531755947275798
COX7A23,-0.20224887363512706
TMED2,0.2024557471689964
ISG20,0.20390111467951133
MRPL24,0.20636124677778694
RER1,0.20871221306347154
TMEM2582,0.2114422388359085
PRDX41,0.2127566807459662
HLA-C5,0.21362565425774593
NDUFB11,0.2165211148133881
IGHG4,0.2185205646758055
MRPL20,0.221104669028319
COX6A1,0.23492499270805955
SEC11C,0.23616245978700112
IGHG2,0.23750024585878382
MIF,0.24074134986870432
TRAM1,0.2542747100112783
GADD45GIP1,0.26893998250598694
DAD1,0.2736371774757531
PSMB3,0.28413508473117
SUB11,0.32215530051446417
KRT10,0.3377541866175385
SSR42,0.3384072812887631
SSR4,0.34016563267274136
UBE2J11,0.3478864097863896
CD271,0.3747328133412249
LGALS1,0.3793114867509535
HERPUD1,0.39613741096488586
PDIA3,0.40053735312866545
HAX1,0.41131962731661187
IGHG3,0.4262532926246503
B2M3,0.43715310866966495
IGHA2,0.4390173915520754
DERL3,0.4444754919859226
PSMB8,0.46124304691245505
XBP11,0.4638701667978462
TNFRSF172,0.4654832194571499
IGKV3-20,0.47012784256226947
FKBP22,0.47872589143921496
DERL31,0.5164019965704365
PDIA41,0.5414290834679419
IFI27L21,0.5445070608689769
DERL32,0.5493364526416697
IGHA1,0.5580683989190502
CALR,0.5586052531739509
MZB11,0.5879580514428522
JCHAIN,0.5921229123754661
MZB1,0.6217738355861306
CD52,0.6647797916593399
SSR43,0.6837340283755424
HLA-C2,0.778103002215886
IGKC,0.8198245869304062
IGKC4,0.8358264358176406
IGKC2,0.8900668142824095
ITM2C1,0.9489820737555826
IGKC5,0.9594017045703453
IGLC23,1.0338820409191665
IGHG43,1.0670731119543948
IGHA13,1.070604336806635
IGHG1,1.0848782051483847
IGLC22,1.0981054180715994
ITM2C2,1.139950186615046
IGHGP,1.2289873401909963
IGKC1,1.237777237581016
IGKC3,1.4991582405077106
