
Genes,Filtered Difference
RP11-1143G9.4,-2.4491210720954277
S100A12,-2.3028723280393697
S100A82,-2.293711152011861
S100A91,-1.721548500885477
LYZ,-1.4028380459225054
HLA-DPB1,-1.1680178177408846
CD743,-1.0868216641871649
CSTA,-0.9859584453045511
HLA-DPA1,-0.9711735115471636
HLA-DRB13,-0.9530715521217361
CFP,-0.9143298302394127
HLA-DRA,-0.912144646520077
FCN1,-0.8322622112977014
MNDA,-0.822654976548783
FCER1G,-0.7541875036274162
TYROBP,-0.7054598583715054
LSP1,-0.6674833992533146
FCER1A,-0.6548192066793901
S100A6,-0.6422985639999309
ITM2B,-0.5746578330514451
MS4A6A,-0.5436366860075216
CST3,-0.5348003541670885
ITGB2,-0.5325081577700975
S100A92,-0.52399462196619
S100A93,-0.512438073971964
HLA-DRB6,-0.49738991125459553
HLA-DMA,-0.47223250527778204
LITAF,-0.46279694834585794
IRF8,-0.4456710487640665
SAMHD1,-0.42630718556407055
LST11,-0.4187563733632459
ANXA22,-0.413365632746975
FCER1G2,-0.406194472363659
CD74,-0.3976803412106039
MT2A,-0.3702518810508284
HLA-DRB1,-0.33349552829883633
IFITM24,-0.32074491270468
LST1,-0.3145269874921566
TMSB4X,-0.3076562063224484
CD53,-0.3046387532976726
S100A63,-0.30332662999618
HLA-B2,-0.2935998276648689
S100A11,-0.2912459202472696
S100A4,-0.2864210768541603
FOS,-0.2774733970960397
GRN,-0.26822102905990997
NAPSB,-0.2557153015578999
SPI1,-0.23452061962293902
GMFG2,-0.231329405736169
MNDA1,-0.2281334105217847
CAP1,-0.22379079381119055
HLA-C,-0.20016404839030993
IFITM32,0.208593015547763
IGFBP71,0.21278773384544802
FKBP1A,0.21601866618834853
ANXA2,0.22964120451916692
NPC2,0.23741027074402965
CTSS,0.23747018815993082
MRPL33,0.2568522953299805
AIF1,0.27621347537717533
VIM,0.280886086035099
FTL2,0.301646666059358
LIMD2,0.3028684420065636
RNF130,0.309041710648288
CD532,0.315012809073605
CPVL,0.3156996396096847
FTH11,0.31960208516370026
CFD1,0.322414795508497
COTL11,0.34164103830658726
LGALS1,0.34185823304928886
HLA-DPA11,0.345709786636474
RNASET2,0.3468098406459744
S100A103,0.35537656749964297
FTH12,0.37843844190610204
VIM1,0.38171116637047403
CTSC,0.38220113654080695
S100A8,0.39817333037645475
PKM,0.4085353436498664
LGALS13,0.47294220515091395
HLA-DPB11,0.5102240602083816
AP1S2,0.5348373091742515
SELL1,0.5761218329402229
GSTP1,0.618930661861046
LYZ3,0.9446123961358059
