
Genes,filtered difference
CALM1,-0.9909392038598597
PSMB9,-0.9076920877810319
GIMAP4,-0.8684480004366871
LCK,-0.8605327449732199
GZMA,-0.8426156077812355
S100A4,-0.7730922231483099
C12orf75,-0.7020268220100154
TRAF3IP3,-0.671199501209574
TMSB4X,-0.6440262027818975
CD3D,-0.6023513204912518
ANXA2,-0.5907274198325391
PFN1,-0.5664535111131035
CD2,-0.47798496983138394
GIMAP7,-0.4771887343448169
NKG7,-0.45857086857582496
LCP1,-0.41851730230535
IL2RG,-0.38616762584805714
ARHGDIB,-0.366300762650983
S100A6,-0.33545065631213755
TRBC1,-0.25236643600229525
HN1,-0.207205696278139
IL32,-0.20320389994807453
HLA-C,0.23696151238637753
GNLY,0.24491968885705573
MRPS18B,0.25757032713953903
HLA-A1,0.264062737268934
B2M,0.3583258137286079
S100A41,0.38596509646683
HLA-C1,0.45748059027656
TRBC2,0.7603576732826333
